iter	Passed	Remaining
0	162	162672
1	170	85234
2	178	59259
3	186	46538
4	195	38805
5	202	33619
6	210	29892
7	218	27096
8	226	24893
9	233	23138
10	241	21713
11	251	20702
12	260	19774
13	270	19044
14	279	18379
15	288	17756
16	298	17237
17	306	16747
18	315	16272
19	323	15867
20	332	15496
21	340	15133
22	348	14788
23	355	14463
24	362	14154
25	370	13869
26	377	13607
27	386	13408
28	394	13205
29	402	13008
30	410	12827
31	418	12649
32	425	12481
33	434	12332
34	442	12203
35	451	12099
36	460	11982
37	469	11879
38	477	11769
39	486	11676
40	495	11585
41	503	11490
42	512	11396
43	520	11305
44	528	11224
45	537	11141
46	546	11074
47	553	10982
48	561	10888
49	568	10800
50	575	10708
51	582	10620
52	590	10544
53	598	10478
54	605	10411
55	612	10328
56	619	10251
57	626	10178
58	634	10115
59	641	10049
60	648	9981
61	656	9925
62	663	9862
63	670	9811
64	679	9772
65	687	9729
66	695	9689
67	704	9661
68	713	9629
69	722	9595
70	731	9569
71	740	9541
72	749	9514
73	758	9488
74	767	9462
75	775	9428
76	783	9387
77	790	9346
78	798	9306
79	806	9269
80	813	9229
81	820	9191
82	828	9150
83	836	9122
84	844	9088
85	851	9054
86	859	9019
87	866	8983
88	874	8953
89	882	8920
90	890	8895
91	898	8866
92	905	8835
93	913	8807
94	922	8786
95	930	8761
96	937	8732
97	946	8708
98	953	8680
99	961	8651
100	969	8632
101	976	8600
102	984	8573
103	992	8549
104	1000	8532
105	1009	8516
106	1017	8491
107	1025	8468
108	1034	8452
109	1042	8437
110	1050	8416
111	1058	8393
112	1066	8369
113	1074	8347
114	1081	8323
115	1089	8301
116	1096	8277
117	1105	8260
118	1112	8236
119	1119	8212
120	1127	8189
121	1135	8173
122	1143	8156
123	1152	8143
124	1161	8128
125	1170	8119
126	1179	8107
127	1188	8094
128	1197	8083
129	1206	8075
130	1216	8067
131	1225	8056
132	1234	8044
133	1243	8033
134	1252	8025
135	1261	8012
136	1270	8002
137	1278	7986
138	1286	7971
139	1294	7953
140	1303	7938
141	1311	7922
142	1318	7903
143	1326	7885
144	1334	7871
145	1342	7854
146	1351	7843
147	1360	7830
148	1368	7818
149	1377	7808
150	1386	7793
151	1393	7776
152	1403	7767
153	1412	7758
154	1421	7746
155	1429	7735
156	1439	7728
157	1447	7713
158	1456	7702
159	1465	7691
160	1473	7677
161	1481	7661
162	1488	7643
163	1496	7626
164	1505	7616
165	1513	7602
166	1520	7585
167	1528	7570
168	1536	7554
169	1543	7537
170	1551	7520
171	1558	7504
172	1566	7487
173	1573	7470
174	1580	7452
175	1588	7437
176	1602	7450
177	1611	7441
178	1618	7424
179	1625	7404
180	1631	7381
181	1637	7358
182	1643	7337
183	1650	7318
184	1657	7299
185	1664	7282
186	1672	7270
187	1680	7258
188	1689	7247
189	1697	7236
190	1705	7224
191	1714	7213
192	1722	7201
193	1729	7187
194	1737	7172
195	1744	7157
196	1752	7141
197	1759	7126
198	1766	7111
199	1774	7097
200	1782	7084
201	1789	7071
202	1797	7055
203	1804	7039
204	1811	7023
205	1818	7009
206	1825	6994
207	1833	6980
208	1840	6964
209	1847	6949
210	1855	6936
211	1862	6923
212	1870	6909
213	1877	6895
214	1884	6881
215	1892	6870
216	1900	6856
217	1907	6843
218	1915	6832
219	1923	6819
220	1931	6806
221	1938	6794
222	1946	6781
223	1953	6768
224	1961	6755
225	1968	6742
226	1975	6728
227	1982	6714
